#peptides,GO term,Name,
83,GO:0050560,aspartate-tRNA(Asn) ligase activity,
83,GO:0043546,molybdopterin cofactor binding,
82,GO:0047112,pyruvate oxidase activity,
82,GO:0070063,RNA polymerase binding,
82,GO:0008878,glucose-1-phosphate adenylyltransferase activity,
82,GO:0030060,L-malate dehydrogenase activity,
80,GO:0008763,UDP-N-acetylmuramate-L-alanine ligase activity,
80,GO:0004823,leucine-tRNA ligase activity,
80,GO:0004827,proline-tRNA ligase activity,
77,GO:0051920,peroxiredoxin activity,
76,GO:0004731,purine-nucleoside phosphorylase activity,
76,GO:0004124,cysteine synthase activity,
76,GO:0008986,"pyruvate, water dikinase activity",
76,GO:0015424,amino acid-transporting ATPase activity,
76,GO:0008289,lipid binding,
75,GO:0003883,CTP synthase activity,
75,GO:0042626,"ATPase activity, coupled to transmembrane movement of substances",
74,GO:0045148,tripeptide aminopeptidase activity,
74,GO:0015407,monosaccharide-transporting ATPase activity,
74,GO:0050193,phosphoketolase activity,
74,GO:0003986,acetyl-CoA hydrolase activity,
73,GO:0019134,glucosamine-1-phosphate N-acetyltransferase activity,
73,GO:0003977,UDP-N-acetylglucosamine diphosphorylase activity,
73,GO:0004018,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity",
73,GO:0070626,(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,
72,GO:0019829,cation-transporting ATPase activity,
72,GO:0004658,propionyl-CoA carboxylase activity,
71,GO:0016783,sulfurtransferase activity,
70,GO:0080130,L-phenylalanine:2-oxoglutarate aminotransferase activity,
69,GO:0004802,transketolase activity,
68,GO:0004831,tyrosine-tRNA ligase activity,
68,GO:0033748,hydrogenase (acceptor) activity,
67,GO:0004088,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,
67,GO:0019152,acetoin dehydrogenase activity,
67,GO:0003954,NADH dehydrogenase activity,
67,GO:0047905,fructose-6-phosphate phosphoketolase activity,
66,GO:0016987,bacterial sigma factor activity,
66,GO:0004672,protein kinase activity,
65,GO:0016852,sirohydrochlorin cobaltochelatase activity,
65,GO:0003983,UTP:glucose-1-phosphate uridylyltransferase activity,
65,GO:0004181,metallocarboxypeptidase activity,
65,GO:0008886,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity,
65,GO:0004069,L-aspartate:2-oxoglutarate aminotransferase activity,
65,GO:0052587,diacetyl reductase ((R)-acetoin forming) activity,
64,GO:0000036,acyl carrier activity,
64,GO:0052588,diacetyl reductase ((S)-acetoin forming) activity,
63,GO:0008964,phosphoenolpyruvate carboxylase activity,
63,GO:0016153,urocanate hydratase activity,
63,GO:0004642,phosphoribosylformylglycinamidine synthase activity,
63,GO:0015643,toxic substance binding,
63,GO:0015430,glycerol-3-phosphate-transporting ATPase activity,
62,GO:0004821,histidine-tRNA ligase activity,
62,GO:0008716,D-alanine-D-alanine ligase activity,
62,GO:0043023,ribosomal large subunit binding,
62,GO:0003917,DNA topoisomerase type I activity,
61,GO:0019825,oxygen binding,
60,GO:0004422,hypoxanthine phosphoribosyltransferase activity,
60,GO:0052657,guanine phosphoribosyltransferase activity,
60,GO:0008312,7S RNA binding,
60,GO:0033862,UMP kinase activity,
60,GO:0005509,calcium ion binding,
59,GO:0050418,hydroxylamine reductase activity,
59,GO:0004412,homoserine dehydrogenase activity,
59,GO:0008760,UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity,
59,GO:0008658,penicillin binding,
59,GO:0008236,serine-type peptidase activity,
59,GO:0042802,identical protein binding,
58,GO:0042586,peptide deformylase activity,
58,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",
58,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",
57,GO:0004612,phosphoenolpyruvate carboxykinase (ATP) activity,
57,GO:0004340,glucokinase activity,
57,GO:0004462,lactoylglutathione lyase activity,
57,GO:0008777,acetylornithine deacetylase activity,
56,GO:0004329,formate-tetrahydrofolate ligase activity,
56,GO:0003942,N-acetyl-gamma-glutamyl-phosphate reductase activity,
56,GO:0004073,aspartate-semialdehyde dehydrogenase activity,
56,GO:0004527,exonuclease activity,
56,GO:0016774,"phosphotransferase activity, carboxyl group as acceptor",
55,GO:0003849,3-deoxy-7-phosphoheptulonate synthase activity,
55,GO:0008817,"cob(I)yrinic acid a,c-diamide adenosyltransferase activity",
55,GO:0005504,fatty acid binding,
55,GO:0004739,pyruvate dehydrogenase (acetyl-transferring) activity,
55,GO:0004008,copper-exporting ATPase activity,
55,GO:0008144,drug binding,
55,GO:0050446,azobenzene reductase activity,
54,GO:0009982,pseudouridine synthase activity,
53,GO:0047850,diaminopimelate dehydrogenase activity,
53,GO:0004795,threonine synthase activity,
52,GO:0004639,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,
52,GO:0016888,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters",
52,GO:0046405,glycerol dehydratase activity,
51,GO:0004817,cysteine-tRNA ligase activity,
51,GO:0008866,fructuronate reductase activity,
51,GO:0004367,glycerol-3-phosphate dehydrogenase [NAD+] activity,
51,GO:0047952,glycerol-3-phosphate dehydrogenase [NAD(P)+] activity,
51,GO:0036439,glycerol-3-phosphate dehydrogenase [NADP+] activity,
51,GO:0004003,ATP-dependent DNA helicase activity,
50,GO:0004514,nicotinate-nucleotide diphosphorylase (carboxylating) activity,
49,GO:0004516,nicotinate phosphoribosyltransferase activity,
49,GO:0004084,branched-chain-amino-acid transaminase activity,
48,GO:0004563,beta-N-acetylhexosaminidase activity,
47,GO:0008764,UDP-N-acetylmuramoylalanine-D-glutamate ligase activity,
47,GO:0022877,protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity,
47,GO:0005351,carbohydrate:proton symporter activity,
47,GO:0016840,carbon-nitrogen lyase activity,
47,GO:0008080,N-acetyltransferase activity,
47,GO:0018454,acetoacetyl-CoA reductase activity,
46,GO:0005542,folic acid binding,
46,GO:0003852,2-isopropylmalate synthase activity,
46,GO:0030409,glutamate formimidoyltransferase activity,
46,GO:0004155,"6,7-dihydropteridine reductase activity",
45,GO:0009025,tagatose-bisphosphate aldolase activity,
45,GO:0008865,fructokinase activity,
45,GO:0004021,L-alanine:2-oxoglutarate aminotransferase activity,
45,GO:0004355,glutamate synthase (NADPH) activity,
44,GO:0004139,deoxyribose-phosphate aldolase activity,
44,GO:0047451,3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity,
44,GO:0004072,aspartate kinase activity,
44,GO:0009381,excinuclease ABC activity,
43,GO:0016993,precorrin-8X methylmutase activity,
43,GO:0050662,coenzyme binding,
43,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",
43,GO:0016772,"transferase activity, transferring phosphorus-containing groups",
42,GO:0043531,ADP binding,
42,GO:0009040,ureidoglycolate dehydrogenase activity,
41,GO:0004550,nucleoside diphosphate kinase activity,
41,GO:0004362,glutathione-disulfide reductase activity,
41,GO:0033926,glycopeptide alpha-N-acetylgalactosaminidase activity,
41,GO:0042132,"fructose 1,6-bisphosphate 1-phosphatase activity",
41,GO:0008840,4-hydroxy-tetrahydrodipicolinate synthase,
41,GO:0008662,1-phosphofructokinase activity,
41,GO:0016776,"phosphotransferase activity, phosphate group as acceptor",
41,GO:0004300,enoyl-CoA hydratase activity,
40,GO:0004588,orotate phosphoribosyltransferase activity,
39,GO:0004345,glucose-6-phosphate dehydrogenase activity,
39,GO:0047473,D-alanine [D-alanyl carrier protein] ligase activity,
39,GO:0004816,asparagine-tRNA ligase activity,
38,GO:0004004,ATP-dependent RNA helicase activity,
38,GO:0070181,small ribosomal subunit rRNA binding,
38,GO:0004151,dihydroorotase activity,
38,GO:0052795,exo-alpha-(2->6)-sialidase activity,
38,GO:0052796,exo-alpha-(2->8)-sialidase activity,
38,GO:0052794,exo-alpha-(2->3)-sialidase activity,
37,GO:0008712,ADP-glyceromanno-heptose 6-epimerase activity,
37,GO:0004127,cytidylate kinase activity,
37,GO:0008017,microtubule binding,
37,GO:0047553,2-oxoglutarate synthase activity,
36,GO:0004766,spermidine synthase activity,
36,GO:0003725,double-stranded RNA binding,
36,GO:0031071,cysteine desulfurase activity,
36,GO:0004060,arylamine N-acetyltransferase activity,
35,GO:0008838,diaminopropionate ammonia-lyase activity,
35,GO:0004852,uroporphyrinogen-III synthase activity,
35,GO:0004326,tetrahydrofolylpolyglutamate synthase activity,
35,GO:0004794,L-threonine ammonia-lyase activity,
35,GO:0004871,signal transducer activity,
35,GO:0004565,beta-galactosidase activity,
35,GO:0008955,peptidoglycan glycosyltransferase activity,
34,GO:0004397,histidine ammonia-lyase activity,
34,GO:0004525,ribonuclease III activity,
34,GO:0018492,carbon-monoxide dehydrogenase (acceptor) activity,
34,GO:0003952,NAD+ synthase (glutamine-hydrolyzing) activity,
34,GO:0004851,uroporphyrin-III C-methyltransferase activity,
34,GO:0008879,glucose-1-phosphate thymidylyltransferase activity,
34,GO:0016624,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",
34,GO:0008745,N-acetylmuramoyl-L-alanine amidase activity,
34,GO:0003993,acid phosphatase activity,
34,GO:0003777,microtubule motor activity,
34,GO:0004867,serine-type endopeptidase inhibitor activity,
33,GO:0008460,"dTDP-glucose 4,6-dehydratase activity",
33,GO:0051266,sirohydrochlorin ferrochelatase activity,
33,GO:0043115,precorrin-2 dehydrogenase activity,
33,GO:0008794,arsenate reductase (glutaredoxin) activity,
33,GO:0009002,serine-type D-Ala-D-Ala carboxypeptidase activity,
33,GO:0003961,O-acetylhomoserine aminocarboxypropyltransferase activity,
33,GO:0003779,actin binding,
33,GO:0004854,xanthine dehydrogenase activity,
32,GO:0008831,dTDP-4-dehydrorhamnose reductase activity,
32,GO:0008839,4-hydroxy-tetrahydrodipicolinate reductase,
32,GO:0030983,mismatched DNA binding,
32,GO:0008551,cadmium-exporting ATPase activity,
32,GO:0004872,signaling receptor activity,
31,GO:0008761,UDP-N-acetylglucosamine 2-epimerase activity,
31,GO:0004055,argininosuccinate synthase activity,
31,GO:0004013,adenosylhomocysteinase activity,
31,GO:0034618,arginine binding,
31,GO:0004518,nuclease activity,
31,GO:0004315,3-oxoacyl-[acyl-carrier-protein] synthase activity,
30,GO:0003984,acetolactate synthase activity,
30,GO:0004791,thioredoxin-disulfide reductase activity,
30,GO:0008795,NAD+ synthase activity,
30,GO:0048037,cofactor binding,
29,GO:0004071,aspartate-ammonia ligase activity,
29,GO:0004722,protein serine/threonine phosphatase activity,
29,GO:0008911,lactaldehyde dehydrogenase activity,
28,GO:0004751,ribose-5-phosphate isomerase activity,
28,GO:0004152,dihydroorotate dehydrogenase activity,
28,GO:0004830,tryptophan-tRNA ligase activity,
28,GO:0043169,cation binding,
28,GO:0004176,ATP-dependent peptidase activity,
28,GO:0008888,glycerol dehydrogenase [NAD+] activity,
27,GO:0047200,tetrahydrodipicolinate N-acetyltransferase activity,
27,GO:0047480,UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity,
27,GO:0017057,6-phosphogluconolactonase activity,
27,GO:0047429,nucleoside-triphosphate diphosphatase activity,
27,GO:0004765,shikimate kinase activity,
27,GO:0031176,"endo-1,4-beta-xylanase activity",
27,GO:0016743,carboxyl- or carbamoyltransferase activity,
26,GO:0004564,beta-fructofuranosidase activity,
26,GO:0003999,adenine phosphoribosyltransferase activity,
26,GO:0015450,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,
26,GO:0016788,"hydrolase activity, acting on ester bonds",
26,GO:0004497,monooxygenase activity,
25,GO:0004834,tryptophan synthase activity,
25,GO:0004479,methionyl-tRNA formyltransferase activity,
25,GO:0008932,lytic endotransglycosylase activity,
25,GO:0008815,citrate (pro-3S)-lyase activity,
25,GO:0008324,cation transmembrane transporter activity,
25,GO:0008081,phosphoric diester hydrolase activity,
25,GO:0004477,methenyltetrahydrofolate cyclohydrolase activity,
25,GO:0008912,lactaldehyde reductase activity,
25,GO:0004180,carboxypeptidase activity,
25,GO:0015078,proton transmembrane transporter activity,
25,GO:0016463,zinc-exporting ATPase activity,
24,GO:0015079,potassium ion transmembrane transporter activity,
24,GO:0004190,aspartic-type endopeptidase activity,
24,GO:0008173,RNA methyltransferase activity,
24,GO:0003856,3-dehydroquinate synthase activity,
24,GO:0016726,"oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor",
24,GO:0003678,DNA helicase activity,
24,GO:0009378,four-way junction helicase activity,
24,GO:0004156,dihydropteroate synthase activity,
24,GO:0004415,hyalurononglucosaminidase activity,
23,GO:0003844,"1,4-alpha-glucan branching enzyme activity",
23,GO:0102752,"1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)",
23,GO:0003796,lysozyme activity,
23,GO:0004819,glutamine-tRNA ligase activity,
23,GO:0008484,sulfuric ester hydrolase activity,
23,GO:0016798,"hydrolase activity, acting on glycosyl bonds",
23,GO:0031177,phosphopantetheine binding,
23,GO:0043892,methylglyoxal reductase (NADPH-dependent) activity,
22,GO:0017111,nucleoside-triphosphatase activity,
22,GO:0016722,"oxidoreductase activity, oxidizing metal ions",
22,GO:0015658,branched-chain amino acid transmembrane transporter activity,
22,GO:0008853,exodeoxyribonuclease III activity,
22,GO:0050040,lactate 2-monooxygenase activity,
22,GO:0001104,RNA polymerase II transcription cofactor activity,
22,GO:0103046,alanylglutamate dipeptidase activity,
22,GO:0102008,cytosolic dipeptidase activity,
21,GO:0008830,"dTDP-4-dehydrorhamnose 3,5-epimerase activity",
21,GO:0050511,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity,
21,GO:0051991,"UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity",
21,GO:0004810,tRNA adenylyltransferase activity,
21,GO:0004742,dihydrolipoyllysine-residue acetyltransferase activity,
21,GO:0005388,calcium-transporting ATPase activity,
21,GO:0008889,glycerophosphodiester phosphodiesterase activity,
21,GO:0003774,motor activity,
21,GO:0000976,transcription regulatory region sequence-specific DNA binding,
21,GO:0001217,"bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding",
21,GO:0050605,superoxide reductase activity,
21,GO:0004354,glutamate dehydrogenase (NADP+) activity,
20,GO:0004655,porphobilinogen synthase activity,
20,GO:0004476,mannose-6-phosphate isomerase activity,
20,GO:0004385,guanylate kinase activity,
20,GO:0046429,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity,
20,GO:0003688,DNA replication origin binding,
20,GO:0003951,NAD+ kinase activity,
20,GO:0008765,"UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity",
20,GO:0008448,N-acetylglucosamine-6-phosphate deacetylase activity,
20,GO:0016791,phosphatase activity,
20,GO:0009014,succinyl-diaminopimelate desuccinylase activity,
19,GO:0004801,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity,
19,GO:0070006,metalloaminopeptidase activity,
19,GO:0036381,pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity,
19,GO:0033925,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity,
19,GO:0008276,protein methyltransferase activity,
19,GO:0005315,inorganic phosphate transmembrane transporter activity,
19,GO:0004170,dUTP diphosphatase activity,
19,GO:0047810,D-alanine:2-oxoglutarate aminotransferase activity,
19,GO:0005234,extracellularly glutamate-gated ion channel activity,
19,GO:0003968,RNA-directed 5'-3' RNA polymerase activity,
18,GO:0050044,galactose-6-phosphate isomerase activity,
18,GO:0051538,"3 iron, 4 sulfur cluster binding",
18,GO:0071949,FAD binding,
18,GO:0008170,N-methyltransferase activity,
18,GO:0033711,4-phosphoerythronate dehydrogenase activity,
18,GO:0047631,ADP-ribose diphosphatase activity,
18,GO:0008137,NADH dehydrogenase (ubiquinone) activity,
18,GO:0099620,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,
18,GO:0003863,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,
17,GO:0043768,S-ribosylhomocysteine lyase activity,
17,GO:0050480,imidazolonepropionase activity,
17,GO:0030788,precorrin-2 C20-methyltransferase activity,
17,GO:0015420,cobalamin-transporting ATPase activity,
17,GO:0050215,propanediol dehydratase activity,
17,GO:0008113,peptide-methionine (S)-S-oxide reductase activity,
17,GO:0004488,methylenetetrahydrofolate dehydrogenase (NADP+) activity,
17,GO:0008253,5'-nucleotidase activity,
17,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",
16,GO:0009018,sucrose phosphorylase activity,
16,GO:0008892,guanine deaminase activity,
16,GO:0042286,"glutamate-1-semialdehyde 2,1-aminomutase activity",
16,GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",
16,GO:0008855,exodeoxyribonuclease VII activity,
16,GO:0003713,transcription coactivator activity,
