# MetaGOmics GO comparison report
# MetaGOmics version: 0.1.1
# Run date: Mon Mar 05 02:10:03 PST 2018
# Run1 = 737NS_Peptide_Shaker_on_data_5
# Run2 = 737WS_Peptide_Shaker_on_data_6
GO acc	GO aspect	GO name	Run 1 ratio	Run 1 PSM count	Run 2 ratio	Run 2 PSM count	Log(2) fold change	Raw p-value	Bonf. corr. p-value	Laplace corr. Run 1 ratio	Laplace corr. Run 2 ratio	Laplace corr. Log(2) fold change	Laplace corr. Raw p-value	Laplace corr. Bonf. corr p-value	Laplace corr. q-value
GO:0051649	biological_process	establishment of localization in cell	0.005036180502527181	277	0.006091190443336158	309	0.27439421968361266	2.10E-02	1.00E+00	0.004879932593736835	0.005882911092133979	0.2696690130535888	2.31E-02	1.00E+00	4.76E-02
GO:0051646	biological_process	mitochondrion localization	3.4544198392785715E-4	19	0.001143330245027499	58	1.7267268395124145	1.55E-06	3.05E-03	3.5107428731919675E-4	0.001119650820760983	1.6732006349773378	2.14E-06	4.21E-03	8.36E-06
GO:0002252	biological_process	immune effector process	3.9998545507436095E-4	22	2.1683849474659464E-4	11	-0.8833266421715749	9.21E-02	1.00E+00	4.0373543041707623E-4	2.2772559066325078E-4	-0.8261137748329972	1.03E-01	1.00E+00	1.75E-01
GO:0002253	biological_process	activation of immune response	3.4544198392785715E-4	19	9.856295215754302E-5	5	-1.8093260607277948	7.76E-03	1.00E+00	3.5107428731919675E-4	1.1386279533162539E-4	-1.6244799136633468	1.08E-02	1.00E+00	2.38E-02
GO:0006612	biological_process	protein targeting to membrane	7.090651249045489E-4	39	0.0018332709101303002	93	1.370429950074211	2.32E-07	4.56E-04	7.021485746383935E-4	0.0017838504601954644	1.3451464372931348	3.01E-07	5.91E-04	1.34E-06
GO:0071241	biological_process	cellular response to inorganic substance	7.272462819533835E-5	4	1.9712590431508603E-5	1	-1.8833266421715749	2.10E-01	1.00E+00	8.776857182979919E-5	3.79542651105418E-5	-1.2094424143845028	3.02E-01	1.00E+00	4.22E-01
GO:0006605	biological_process	protein targeting	0.004290753063524963	236	0.005539237911253918	281	0.36845662868751194	3.64E-03	1.00E+00	0.0041602303047324814	0.0053515513805863935	0.3632937840033925	4.08E-03	1.00E+00	1.01E-02
GO:0070394	biological_process	lipoteichoic acid metabolic process	1.2726809934184211E-4	7	9.659169311439217E-4	49	2.9240282798860306	3.19E-09	6.28E-06	1.404297149276787E-4	9.488566277635449E-4	2.7563418702775824	5.97E-09	1.17E-05	3.16E-08
GO:0051651	biological_process	maintenance of location in cell	3.4544198392785715E-4	19	0.001143330245027499	58	1.7267268395124145	1.55E-06	3.05E-03	3.5107428731919675E-4	0.001119650820760983	1.6732006349773378	2.14E-06	4.21E-03	8.36E-06
GO:0070395	biological_process	lipoteichoic acid biosynthetic process	1.2726809934184211E-4	7	9.659169311439217E-4	49	2.9240282798860306	3.19E-09	6.28E-06	1.404297149276787E-4	9.488566277635449E-4	2.7563418702775824	5.97E-09	1.17E-05	3.16E-08
GO:0071248	biological_process	cellular response to metal ion	7.272462819533835E-5	4	1.9712590431508603E-5	1	-1.8833266421715749	2.10E-01	1.00E+00	8.776857182979919E-5	3.79542651105418E-5	-1.2094424143845028	3.02E-01	1.00E+00	4.22E-01
GO:0052509	biological_process	positive regulation by symbiont of host defense response	9.090578524417293E-5	5	1.9712590431508603E-5	1	-2.205254737058935	1.25E-01	1.00E+00	1.0532228619575902E-4	3.79542651105418E-5	-1.4724768202182972	1.92E-01	1.00E+00	2.92E-01
GO:0051659	biological_process	maintenance of mitochondrion location	3.4544198392785715E-4	19	0.001143330245027499	58	1.7267268395124145	1.55E-06	3.05E-03	3.5107428731919675E-4	0.001119650820760983	1.6732006349773378	2.14E-06	4.21E-03	8.36E-06
GO:0051657	biological_process	maintenance of organelle location	3.4544198392785715E-4	19	0.001143330245027499	58	1.7267268395124145	1.55E-06	3.05E-03	3.5107428731919675E-4	0.001119650820760983	1.6732006349773378	2.14E-06	4.21E-03	8.36E-06
GO:1902578	biological_process	single-organism localization	0.06892476637213192	3791	0.07035423525005421	3569	0.0296148027068055	3.62E-01	1.00E+00	0.0665636848757197	0.0677483632223171	0.02545079052106214	4.33E-01	1.00E+00	5.66E-01
GO:0071281	biological_process	cellular response to iron ion	7.272462819533835E-5	4	1.9712590431508603E-5	1	-1.8833266421715749	2.10E-01	1.00E+00	8.776857182979919E-5	3.79542651105418E-5	-1.2094424143845028	3.02E-01	1.00E+00	4.22E-01
GO:0042710	biological_process	biofilm formation	1.8181157048834587E-5	1	2.3655108517810325E-4	12	3.701635858549583	1.38E-03	1.00E+00	3.510742873191968E-5	2.467027232185217E-4	2.8129253986439515	2.76E-03	1.00E+00	6.99E-03
GO:0052510	biological_process	positive regulation by organism of defense response of other organism involved in symbiotic interaction	9.090578524417293E-5	5	1.9712590431508603E-5	1	-2.205254737058935	1.25E-01	1.00E+00	1.0532228619575902E-4	3.79542651105418E-5	-1.4724768202182972	1.92E-01	1.00E+00	2.92E-01
GO:0000041	biological_process	transition metal ion transport	0.004999818188429512	275	0.002602061936959136	132	-0.9422203312251414	3.17E-10	6.23E-07	0.004844825165004915	0.0025239586298510296	-0.9407563407741204	2.99E-10	5.87E-07	1.80E-09
GO:0034284	biological_process	response to monosaccharide	1.8181157048834587E-5	1	3.9425180863017206E-5	2	1.1166733578284251	5.17E-01	1.00E+00	3.510742873191968E-5	5.6931397665812695E-5	0.697448181224015	5.93E-01	1.00E+00	6.88E-01
GO:0042723	biological_process	thiamine-containing compound metabolic process	4.363477691720301E-4	24	9.659169311439217E-4	49	1.1464207012224783	1.06E-03	1.00E+00	4.388428591489959E-4	9.488566277635449E-4	1.1124856805028571	1.25E-03	1.00E+00	3.35E-03
GO:0042724	biological_process	thiamine-containing compound biosynthetic process	4.363477691720301E-4	24	9.659169311439217E-4	49	1.1464207012224783	1.06E-03	1.00E+00	4.388428591489959E-4	9.488566277635449E-4	1.1124856805028571	1.25E-03	1.00E+00	3.35E-03
GO:1902582	biological_process	single-organism intracellular transport	0.004290753063524963	236	0.005539237911253918	281	0.36845662868751194	3.64E-03	1.00E+00	0.0041602303047324814	0.0053515513805863935	0.3632937840033925	4.08E-03	1.00E+00	1.01E-02
GO:0042726	biological_process	flavin-containing compound metabolic process	0.0012544998363695865	69	5.322399416507323E-4	27	-1.236963596786273	9.80E-05	1.93E-01	0.0012287600056171885	5.313597115475852E-4	-1.2094424143845028	1.13E-04	2.21E-01	3.41E-04
GO:1902580	biological_process	single-organism cellular localization	0.001054507108832406	58	0.002976601155157799	151	1.4970971020259345	2.07E-12	4.06E-09	0.0010356691475916305	0.0028845241484011766	1.4777701445846034	2.94E-12	5.79E-09	2.01E-11
GO:0042727	biological_process	flavin-containing compound biosynthetic process	0.0012544998363695865	69	5.322399416507323E-4	27	-1.236963596786273	9.80E-05	1.93E-01	0.0012287600056171885	5.313597115475852E-4	-1.2094424143845028	1.13E-04	2.21E-01	3.41E-04
GO:1902589	biological_process	single-organism organelle organization	0.004490745791062143	247	0.004080506219322281	207	-0.13820691625692483	3.08E-01	1.00E+00	0.00435332116275804	0.003947243571496347	-0.14127091174292428	2.96E-01	1.00E+00	4.21E-01
GO:1903436	biological_process	regulation of mitotic cytokinetic process	1.9999272753718048E-4	11	1.9712590431508603E-5	1	-3.3427582608088713	5.97E-03	1.00E+00	2.1064457239151804E-4	3.79542651105418E-5	-2.472476820218297	1.14E-02	1.00E+00	2.51E-02
GO:0072594	biological_process	establishment of protein localization to organelle	7.090651249045489E-4	39	0.0018332709101303002	93	1.370429950074211	2.32E-07	4.56E-04	7.021485746383935E-4	0.0017838504601954644	1.3451464372931348	3.01E-07	5.91E-04	1.34E-06
GO:0072593	biological_process	reactive oxygen species metabolic process	0.002127195374713647	117	0.0038242425437126693	194	0.8462214804321508	3.57E-07	7.02E-04	0.002071338295183261	0.003700540848277825	0.8371729448906287	4.36E-07	8.56E-04	1.92E-06
GO:0000052	biological_process	citrulline metabolic process	0.0030726155412530453	169	0.003587691458534566	182	0.22358856174493802	1.46E-01	1.00E+00	0.0029841314422131724	0.0034728152576145744	0.21879458264919904	1.53E-01	1.00E+00	2.43E-01
GO:0071266	biological_process	'de novo' L-methionine biosynthetic process	8.363332242463911E-4	46	0.0019121212718563347	97	1.1930242439585435	1.98E-06	3.90E-03	8.250245752001123E-4	0.001859758990416548	1.1726066729404305	2.46E-06	4.84E-03	9.49E-06
GO:0071267	biological_process	L-methionine salvage	4.1816661212319554E-4	23	1.7741331388357743E-4	9	-1.236963596786273	2.45E-02	1.00E+00	4.212891447830361E-4	1.89771325552709E-4	-1.1505487253309337	2.96E-02	1.00E+00	5.83E-02
GO:0000050	biological_process	urea cycle	0.0011999563652230827	66	0.0011236176545959904	57	-0.0948307473652843	7.16E-01	1.00E+00	0.001176098862519309	0.0011006736882057122	-0.09562251482734219	7.12E-01	1.00E+00	7.57E-01
GO:0071265	biological_process	L-methionine biosynthetic process	0.0012544998363695865	69	0.002089534585739912	106	0.7360693556134574	8.47E-04	1.00E+00	0.0012287600056171885	0.0020305531834139863	0.7246696499590399	9.51E-04	1.00E+00	2.61E-03
GO:0072599	biological_process	establishment of protein localization to endoplasmic reticulum	7.090651249045489E-4	39	0.0018332709101303002	93	1.370429950074211	2.32E-07	4.56E-04	7.021485746383935E-4	0.0017838504601954644	1.3451464372931348	3.01E-07	5.91E-04	1.34E-06
GO:1901661	biological_process	quinone metabolic process	1.9999272753718048E-4	11	4.336769894931893E-4	22	1.116673357828427	3.16E-02	1.00E+00	2.1064457239151804E-4	4.3647404877123066E-4	1.0510851358387168	3.65E-02	1.00E+00	7.10E-02
GO:1901663	biological_process	quinone biosynthetic process	1.9999272753718048E-4	11	4.336769894931893E-4	22	1.116673357828427	3.16E-02	1.00E+00	2.1064457239151804E-4	4.3647404877123066E-4	1.0510851358387168	3.65E-02	1.00E+00	7.10E-02
GO:0006644	biological_process	phospholipid metabolic process	0.007599723646412857	418	0.008791815332452838	446	0.21021412566785003	3.15E-02	1.00E+00	0.007355006319337172	0.008482778252206091	0.20581026798682522	3.50E-02	1.00E+00	6.87E-02
GO:0006643	biological_process	membrane lipid metabolic process	0.0024362750445438347	134	0.002799187841274222	142	0.2003312868753362	2.48E-01	1.00E+00	0.002369751439404578	0.0027137299554037386	0.19554142023041798	2.58E-01	1.00E+00	3.76E-01
GO:0006637	biological_process	acyl-CoA metabolic process	0.025853605323442785	1422	0.007707622858719864	391	-1.7460075944836362	1.92E-114	3.78E-111	0.024978935542760847	0.007439035961666192	-1.7475244219084152	7.79E-115	1.53E-111	2.19E-112
GO:0006635	biological_process	fatty acid beta-oxidation	0.009417839351296316	518	3.9425180863017206E-5	2	-7.900134929858128	1.88E-105	3.70E-102	0.009110377755933156	5.6931397665812695E-5	-7.322142547133865	2.61E-105	5.14E-102	3.95E-103
GO:0044085	biological_process	cellular component biogenesis	0.004436202319915639	244	0.006800843698870468	345	0.616388571931072	2.46E-07	4.83E-04	0.00430066001966016	0.006566087864123731	0.6104759691370134	3.06E-07	6.02E-04	1.35E-06
GO:0044087	biological_process	regulation of cellular component biogenesis	4.908912403185339E-4	27	4.336769894931893E-4	22	-0.1787825256977431	6.66E-01	1.00E+00	4.915040022468755E-4	4.3647404877123066E-4	-0.17130728549773266	6.73E-01	1.00E+00	7.25E-01
GO:0051606	biological_process	detection of stimulus	0.0	0	1.9712590431508603E-5	1	null	2.98E-01	1.00E+00	1.755371436595984E-5	3.79542651105418E-5	1.1124856805028571	5.19E-01	1.00E+00	6.28E-01
GO:0051607	biological_process	defense response to virus	5.4543471146503765E-5	3	1.1827554258905163E-4	6	1.1166733578284287	2.62E-01	1.00E+00	7.021485746383936E-5	1.328399278868963E-4	0.9198406025604609	3.01E-01	1.00E+00	4.22E-01
GO:0051604	biological_process	protein maturation	0.0028362604996181955	156	0.004060793628890773	206	0.5177716661493976	6.60E-04	1.00E+00	0.0027559331554556942	0.003928266438941076	0.511351889110558	7.46E-04	1.00E+00	2.08E-03
GO:0051603	biological_process	proteolysis involved in cellular protein catabolic process	0.0011999563652230827	66	2.7597626604112044E-4	14	-2.1203658394724236	4.79E-08	9.42E-05	0.001176098862519309	2.846569883290635E-4	-2.0467129143463954	6.83E-08	1.34E-04	3.35E-07
GO:2001020	biological_process	regulation of response to DNA damage stimulus	5.4543471146503765E-5	3	3.9425180863017206E-5	2	-0.46828914289272916	7.21E-01	1.00E+00	7.021485746383936E-5	5.6931397665812695E-5	-0.302551818775985	7.83E-01	1.00E+00	8.19E-01
GO:0006650	biological_process	glycerophospholipid metabolic process	6.908839678557143E-4	38	0.001301030968479568	66	0.913139963743296	1.57E-03	1.00E+00	6.845948602724337E-4	0.0012714678812031502	0.893172652098384	1.78E-03	1.00E+00	4.64E-03
GO:0006655	biological_process	phosphatidylglycerol biosynthetic process	1.8181157048834587E-5	1	0.0	0	null	3.37E-01	1.00E+00	3.510742873191968E-5	1.89771325552709E-5	-0.8875143194971429	6.10E-01	1.00E+00	6.88E-01
GO:0006656	biological_process	phosphatidylcholine biosynthetic process	1.8181157048834587E-5	1	2.3655108517810325E-4	12	3.701635858549583	1.38E-03	1.00E+00	3.510742873191968E-5	2.467027232185217E-4	2.8129253986439515	2.76E-03	1.00E+00	6.99E-03
GO:1901678	biological_process	iron coordination entity transport	5.454347114650376E-4	30	0.002089534585739912	106	1.9377032167831079	2.59E-12	5.09E-09	5.44165145344755E-4	0.0020305531834139863	1.8997563565171305	4.01E-12	7.88E-09	2.69E-11
GO:0044093	biological_process	positive regulation of molecular function	1.8181157048834587E-5	1	0.0	0	null	3.37E-01	1.00E+00	3.510742873191968E-5	1.89771325552709E-5	-0.8875143194971429	6.10E-01	1.00E+00	6.88E-01
GO:0006646	biological_process	phosphatidylethanolamine biosynthetic process	5.4543471146503765E-5	3	5.913777129452581E-5	3	0.11667335782842869	9.21E-01	1.00E+00	7.021485746383936E-5	7.59085302210836E-5	0.11248568050285712	9.12E-01	1.00E+00	9.29E-01
GO:0072531	biological_process	pyrimidine-containing compound transmembrane transport	1.8181157048834587E-5	1	0.0	0	null	3.37E-01	1.00E+00	3.510742873191968E-5	1.89771325552709E-5	-0.8875143194971429	6.10E-01	1.00E+00	6.88E-01
GO:0044097	biological_process	secretion by the type IV secretion system	0.0	0	3.9425180863017206E-5	2	null	1.41E-01	1.00E+00	1.755371436595984E-5	5.6931397665812695E-5	1.697448181224015	2.81E-01	1.00E+00	3.99E-01
GO:0044092	biological_process	negative regulation of molecular function	0.002163557688811316	119	0.0020303968144453864	103	-0.09164387829629916	6.37E-01	1.00E+00	0.0021064457239151806	0.0019736217857481736	-0.09396519696456629	6.26E-01	1.00E+00	7.05E-01
GO:0019954	biological_process	asexual reproduction	3.6362314097669174E-5	2	0.0	0	null	1.74E-01	1.00E+00	5.266114309787951E-5	1.89771325552709E-5	-1.4724768202182972	3.56E-01	1.00E+00	4.79E-01
GO:2000182	biological_process	regulation of progesterone biosynthetic process	7.272462819533835E-5	4	9.856295215754302E-5	5	0.43860145271578865	6.49E-01	1.00E+00	8.776857182979919E-5	1.1386279533162539E-4	0.375520086336655	6.66E-01	1.00E+00	7.21E-01
GO:1902531	biological_process	regulation of intracellular signal transduction	9.090578524417293E-5	5	0.0	0	null	3.18E-02	1.00E+00	1.0532228619575902E-4	1.89771325552709E-5	-2.472476820218297	7.38E-02	1.00E+00	1.30E-01
GO:2000184	biological_process	positive regulation of progesterone biosynthetic process	7.272462819533835E-5	4	9.856295215754302E-5	5	0.43860145271578865	6.49E-01	1.00E+00	8.776857182979919E-5	1.1386279533162539E-4	0.375520086336655	6.66E-01	1.00E+00	7.21E-01
GO:1902533	biological_process	positive regulation of intracellular signal transduction	9.090578524417293E-5	5	0.0	0	null	3.18E-02	1.00E+00	1.0532228619575902E-4	1.89771325552709E-5	-2.472476820218297	7.38E-02	1.00E+00	1.30E-01
GO:0061436	biological_process	establishment of skin barrier	3.4544198392785715E-4	19	9.856295215754302E-5	5	-1.8093260607277948	7.76E-03	1.00E+00	3.5107428731919675E-4	1.1386279533162539E-4	-1.6244799136633468	1.08E-02	1.00E+00	2.38E-02
GO:0006613	biological_process	cotranslational protein targeting to membrane	7.090651249045489E-4	39	0.0018332709101303002	93	1.370429950074211	2.32E-07	4.56E-04	7.021485746383935E-4	0.0017838504601954644	1.3451464372931348	3.01E-07	5.91E-04	1.34E-06
GO:0006614	biological_process	SRP-dependent cotranslational protein targeting to membrane	7.090651249045489E-4	39	0.0018332709101303002	93	1.370429950074211	2.32E-07	4.56E-04	7.021485746383935E-4	0.0017838504601954644	1.3451464372931348	3.01E-07	5.91E-04	1.34E-06
GO:0071236	biological_process	cellular response to antibiotic	9.090578524417293E-5	5	9.856295215754302E-5	5	0.11667335782842869	8.98E-01	1.00E+00	1.0532228619575902E-4	1.1386279533162539E-4	0.11248568050286067	8.93E-01	1.00E+00	9.15E-01
GO:0019941	biological_process	modification-dependent protein catabolic process	3.6362314097669174E-5	2	0.0	0	null	1.74E-01	1.00E+00	5.266114309787951E-5	1.89771325552709E-5	-1.4724768202182972	3.56E-01	1.00E+00	4.79E-01
GO:0050778	biological_process	positive regulation of immune response	3.4544198392785715E-4	19	9.856295215754302E-5	5	-1.8093260607277948	7.76E-03	1.00E+00	3.5107428731919675E-4	1.1386279533162539E-4	-1.6244799136633468	1.08E-02	1.00E+00	2.38E-02
GO:0050776	biological_process	regulation of immune response	3.4544198392785715E-4	19	9.856295215754302E-5	5	-1.8093260607277948	7.76E-03	1.00E+00	3.5107428731919675E-4	1.1386279533162539E-4	-1.6244799136633468	1.08E-02	1.00E+00	2.38E-02
GO:2000196	biological_process	positive regulation of female gonad development	7.272462819533835E-5	4	9.856295215754302E-5	5	0.43860145271578865	6.49E-01	1.00E+00	8.776857182979919E-5	1.1386279533162539E-4	0.375520086336655	6.66E-01	1.00E+00	7.21E-01
GO:2000194	biological_process	regulation of female gonad development	7.272462819533835E-5	4	9.856295215754302E-5	5	0.43860145271578865	6.49E-01	1.00E+00	8.776857182979919E-5	1.1386279533162539E-4	0.375520086336655	6.66E-01	1.00E+00	7.21E-01
GO:1903874	biological_process	ferrous iron transmembrane transport	1.8181157048834587E-5	1	1.9712590431508603E-5	1	0.11667335782842514	9.54E-01	1.00E+00	3.510742873191968E-5	3.79542651105418E-5	0.11248568050285712	9.38E-01	1.00E+00	9.47E-01
GO:0048468	biological_process	cell development	5.4543471146503765E-5	3	1.9712590431508603E-5	1	-1.4682891428927292	3.58E-01	1.00E+00	7.021485746383936E-5	3.79542651105418E-5	-0.8875143194971429	4.71E-01	1.00E+00	6.00E-01
GO:1901698	biological_process	response to nitrogen compound	7.272462819533835E-5	4	9.856295215754302E-5	5	0.43860145271578865	6.49E-01	1.00E+00	8.776857182979919E-5	1.1386279533162539E-4	0.375520086336655	6.66E-01	1.00E+00	7.21E-01
GO:0006633	biological_process	fatty acid biosynthetic process	0.010926875386349587	601	0.011334739498117448	575	0.052870322948980863	5.28E-01	1.00E+00	0.010567336048307821	0.010930828351836038	0.04879100518546853	5.60E-01	1.00E+00	6.75E-01
GO:0006631	biological_process	fatty acid metabolic process	0.022108286971382857	1216	0.012320369019692879	625	-0.8435417760657096	2.66E-34	5.23E-31	0.02136287038337312	0.011879684979599582	-0.8466089252782503	1.44E-34	2.84E-31	2.31E-33
GO:0000098	biological_process	sulfur amino acid catabolic process	1.8181157048834587E-5	1	0.0017149953675412485	87	6.559616853677154	5.97E-22	1.17E-18	3.510742873191968E-5	0.001669987664863839	5.571917299140155	1.76E-21	3.46E-18	1.87E-20
GO:0000097	biological_process	sulfur amino acid biosynthetic process	0.007636085960510527	420	0.005263261645212797	267	-0.5368762281501409	1.61E-06	3.16E-03	0.007390113748069091	0.005085871524812601	-0.5391015521057643	1.40E-06	2.75E-03	5.80E-06
GO:0000096	biological_process	sulfur amino acid metabolic process	0.007672448274608196	422	0.007333083640521201	372	-0.0652670197707268	5.23E-01	1.00E+00	0.007425221176801011	0.0070784704431160455	-0.06899635236185286	4.99E-01	1.00E+00	6.26E-01
GO:0006629	biological_process	lipid metabolic process	0.0323806407039744	1781	0.023103155985728086	1172	-0.48704158885094273	2.93E-20	5.77E-17	0.03128071900014043	0.022260176487332764	-0.4908086429905545	1.53E-20	3.01E-17	1.61E-19
GO:0050789	biological_process	regulation of biological process	0.055961601396312864	3078	0.07088647519170495	3596	0.3410731470146646	1.03E-23	2.03E-20	0.054047886532790336	0.06826074580130942	0.3368179725934217	3.99E-23	7.84E-20	4.51E-22
GO:0019932	biological_process	second-messenger-mediated signaling	9.090578524417293E-5	5	5.913777129452581E-5	3	-0.620292236337777	5.53E-01	1.00E+00	1.0532228619575902E-4	7.59085302210836E-5	-0.4724768202182972	6.10E-01	1.00E+00	6.88E-01
GO:0019516	biological_process	lactate oxidation	5.999781826115414E-4	33	0.0010250547024384475	52	0.7727189566110653	1.48E-02	1.00E+00	5.968262884426344E-4	0.0010057880254293577	0.7529432938157186	1.63E-02	1.00E+00	3.44E-02
GO:0042779	biological_process	tRNA 3'-trailer cleavage	0.0	0	9.856295215754302E-5	5	null	1.99E-02	1.00E+00	1.755371436595984E-5	1.1386279533162539E-4	2.697448181224015	4.61E-02	1.00E+00	8.47E-02
GO:0043628	biological_process	ncRNA 3'-end processing	9.090578524417293E-5	5	2.1683849474659464E-4	11	1.2541768815783616	9.63E-02	1.00E+00	1.0532228619575902E-4	2.2772559066325078E-4	1.1124856805028607	1.14E-01	1.00E+00	1.91E-01
GO:0043627	biological_process	response to estrogen	7.272462819533835E-5	4	1.1827554258905163E-4	6	0.701635858549583	4.47E-01	1.00E+00	8.776857182979919E-5	1.328399278868963E-4	0.5979125076731009	4.76E-01	1.00E+00	6.01E-01
GO:0042773	biological_process	ATP synthesis coupled electron transport	3.6362314097669174E-5	2	1.9712590431508603E-5	1	-0.8833266421715749	6.12E-01	1.00E+00	5.266114309787951E-5	3.79542651105418E-5	-0.4724768202182972	7.19E-01	1.00E+00	7.61E-01
GO:0043624	biological_process	cellular protein complex disassembly	0.002090833060615978	115	0.0033708529637879714	171	0.6890358217699486	6.24E-05	1.23E-01	0.002036230866451341	0.0032640667995065945	0.6807694400773858	7.21E-05	1.42E-01	2.26E-04
GO:0042777	biological_process	plasma membrane ATP synthesis coupled proton transport	0.0024180938874950003	133	0.0017347079579727572	88	-0.4791774590354638	1.51E-02	1.00E+00	0.002352197725038618	0.00168896479741911	-0.4778700789885164	1.49E-02	1.00E+00	3.18E-02
GO:0043623	biological_process	cellular protein complex assembly	0.0022726446311043236	125	0.005913777129452582	300	1.3797077636622213	4.45E-21	8.75E-18	0.0022117680101109397	0.00571211689913654	1.3688254337626446	7.08E-21	1.39E-17	7.48E-20
GO:0006203	biological_process	dGTP catabolic process	0.0	0	1.1827554258905163E-4	6	null	1.08E-02	1.00E+00	1.755371436595984E-5	1.328399278868963E-4	2.919840602560461	2.55E-02	1.00E+00	5.12E-02
GO:0051246	biological_process	regulation of protein metabolic process	0.008726955383440602	480	0.00946204340712413	480	0.1166733578284278	2.08E-01	1.00E+00	0.008443336610026681	0.009128000759085302	0.11248568050285979	2.24E-01	1.00E+00	3.32E-01
GO:0051247	biological_process	positive regulation of protein metabolic process	4.545289262208647E-4	25	4.533895799246979E-4	23	-0.0036208758892843917	9.93E-01	1.00E+00	4.5639657351495577E-4	4.5545118132650156E-4	-0.0029915369170758765	9.94E-01	1.00E+00	9.94E-01
GO:0051240	biological_process	positive regulation of multicellular organismal process	7.272462819533835E-5	4	9.856295215754302E-5	5	0.43860145271578865	6.49E-01	1.00E+00	8.776857182979919E-5	1.1386279533162539E-4	0.375520086336655	6.66E-01	1.00E+00	7.21E-01
GO:0042780	biological_process	tRNA 3'-end processing	9.090578524417293E-5	5	2.1683849474659464E-4	11	1.2541768815783616	9.63E-02	1.00E+00	1.0532228619575902E-4	2.2772559066325078E-4	1.1124856805028607	1.14E-01	1.00E+00	1.91E-01
GO:0019520	biological_process	aldonic acid metabolic process	7.454274390022182E-4	41	0.0019515464527193518	99	1.3884779732899535	7.12E-08	1.40E-04	7.372560033703132E-4	0.0018977132555270898	1.3640244474988226	9.34E-08	1.84E-04	4.47E-07
GO:0019521	biological_process	D-gluconate metabolic process	7.454274390022182E-4	41	0.0019515464527193518	99	1.3884779732899535	7.12E-08	1.40E-04	7.372560033703132E-4	0.0018977132555270898	1.3640244474988226	9.34E-08	1.84E-04	4.47E-07
GO:0051248	biological_process	negative regulation of protein metabolic process	0.0030180720701065418	166	0.002582349346527627	131	-0.22494307198104835	1.81E-01	1.00E+00	0.0029314702991152927	0.0025049814972957587	-0.22682449261273874	1.76E-01	1.00E+00	2.72E-01
